id,city_id
2000,24
2001,24
2002,24
2003,24
2004,24
2005,24
2006,24
2007,24
2008,24
2009,24
2010,24
2011,24
2012,24
2013,24
2014,24
2015,24
2016,24
2017,24
2018,24
2019,24
2020,24
2021,24
2022,24
2023,24
2024,24
2025,24
2026,24
2027,24
2028,24
2029,24
2030,24
2031,24
2032,24
2033,24
2034,24
2035,24
2036,24
2037,24
2038,24
2039,24
2040,24
2041,24
2042,24
2043,24
2044,24
2045,24
2046,24
2047,24
2048,24
2049,24
2050,24
2051,24
2052,24
2053,24
2054,24
2055,24
2056,24
2057,24
2058,24
2059,24
2060,24
2061,24
2062,24
2063,24
2064,24
2065,24
2066,24
2067,24
2068,24
2069,24
2070,24
2071,24
2072,24
2073,24
2074,24
2075,24
2076,24
2077,24
2078,24
2079,24
2080,24
2081,24
2082,24
2083,24
2084,24
2085,24
2086,24
2087,24
2088,24
2089,24
2090,24
2091,24
2092,24
2093,24
2094,24
2095,24
2096,24
2097,24
2098,24
2099,24
2100,24
2101,24
2102,24
2103,24
2104,24
2105,24
2106,24
2107,24
2108,24
2109,24
2110,24
2111,24
2112,24
2113,24
2114,24
2115,24
2116,24
2117,24
2118,24
2119,24
2120,24
2121,24
2122,24
2123,24
2124,24
2125,24
2126,24
2127,24
2128,24
2129,24
2130,24
2131,24
2132,24
2133,24
2134,24
2135,24
2136,24
2137,24
2138,24
2139,24
2140,24
2141,24
2142,24
2143,24
2144,24
2145,24
2146,24
2147,24
2148,24
2149,24
2150,24
2151,24
2152,24
2153,24
2154,24
2155,24
2156,24
2157,24
2158,24
2159,24
2160,24
2161,24
2162,24
2163,24
2164,24
2165,24
2166,24
2167,24
2168,24
2169,24
2170,24
2171,24
2172,24
2173,24
2174,24
2175,24
2176,24
2177,24
2178,24
2179,24
2180,24
2181,24
2182,24
2183,24
2184,24
2185,24
2186,24
2187,24
2188,24
2189,24
2190,24
2191,24
2192,24
2193,24
2194,24
2195,24
2196,24
2197,24
2198,24
2199,24
2200,24
2201,24
2202,24
2203,24
2204,24
2205,24
2206,24
2207,24
2208,24
2209,24
2210,24
2211,24
2212,24
2213,24
2214,24
2215,24
2216,24
2217,24
2218,24
2219,24
2220,24
2221,24
2222,24
2223,24
2224,24
2225,24
2226,24
2227,24
2228,24
2229,24
2230,24
2231,24
2232,24
2233,24
2234,24
2235,24
2236,24
2237,24
2238,24
2239,24
2240,24
2241,24
2242,24
2243,24
2244,24
2245,24
2246,24
2247,24
2248,24
2249,24
2250,24
2251,24
2252,24
2253,24
2254,24
2255,24
2256,24
2257,24
2258,24
2259,24
2260,24
2261,24
2262,24
2263,24
2264,24
2265,24
2266,24
2267,24
2268,24
2269,24
2270,24
2271,24
2272,24
2273,24
2274,24
2275,24
2276,24
2277,24
2278,24
2279,24
2280,24
2281,24
2282,24
2283,24
2284,24
2285,24
2286,24
2287,24
2288,24
2289,24
2290,24
2291,24
2292,24
2293,24
2294,26
2295,26
2296,26
2297,26
2298,26
2299,26
2300,26
2301,26
2302,26
2303,26
2304,26
2305,26
2306,26
2307,26
2308,26
2309,26
2310,26
2311,26
2312,26
2313,26
2314,26
2315,26
2316,26
2317,26
2318,26
2319,26
2320,26
2321,26
2322,26
2323,26
2324,26
2325,26
2326,26
2327,26
2328,26
2329,26
2330,26
2331,26
2332,26
2333,26
2334,26
2335,26
2336,26
2337,26
2338,26
2339,26
2340,26
2341,26
2342,26
2343,26
2344,26
2345,26
2346,26
2347,26
2348,26
2349,26
2350,26
2351,26
2352,26
2353,26
2354,26
2355,26
2356,26
2357,26
2358,26
2359,26
2360,26
2361,26
2362,26
2363,26
2364,26
2365,26
2366,26
2367,26
2368,26
2369,26
2370,26
2371,26
2372,26
2373,26
2374,26
2375,26
2376,26
2377,26
2378,26
2379,26
2380,26
2381,26
2382,26
2383,26
2384,26
2385,26
2386,26
2387,26
2388,26
2389,26
2390,26
2391,26
2392,26
2393,26
2394,26
2395,26
2396,26
2397,26
2398,26
2399,26
2400,26
2401,26
2402,26
2403,26
2404,26
2405,26
2406,26
2407,26
2408,26
2409,26
2410,26
2411,26
2412,26
2413,26
2414,26
2415,26
2416,26
2417,26
2418,26
2419,26
2420,26
2421,26
2422,26
2423,26
2424,26
2425,26
2426,26
2427,26
2428,26
2429,26
2430,26
2431,26
2432,26
2433,26
2434,26
2435,26
2436,26
2437,26
2438,26
2439,26
2440,26
2441,26
2442,26
2443,26
2444,26
2445,26
2446,26
2447,26
2448,26
2449,26
2450,26
2451,26
2452,26
2453,26
2454,26
2455,26
2456,26
2457,26
2458,26
2459,26
2460,26
2461,26
2462,26
2463,26
2464,26
2465,26
2466,26
2467,26
2468,26
2469,26
2470,26
2471,26
2472,26
2473,26
2474,26
2475,26
2476,26
2477,26
2478,26
2479,26
2480,26
2481,26
2482,26
2483,26
2484,26
2485,26
2486,26
2487,26
2488,26
2489,26
2490,26
2491,26
2492,26
2493,26
2494,26
2495,26
2496,26
2497,26
2498,26
2499,26
2500,26
2501,26
2502,26
2503,26
2504,26
2505,26
2506,26
2507,26
2508,26
2509,26
2510,26
2511,26
2512,26
2513,26
2514,26
2515,26
2516,26
2517,26
2518,26
2519,26
2520,26
2521,26
2522,26
2523,26
2524,26
2525,26
2526,26
2527,26
2528,26
2529,26
2530,26
2531,26
2532,26
2533,26
2534,26
2535,26
2536,26
2537,26
2538,26
2539,26
2540,26
2541,26
2542,26
2543,26
2544,26
2545,26
2546,26
2547,26
2548,26
2549,26
2550,26
2551,26
2552,26
2553,26
2554,26
2555,26
2556,26
2557,26
2558,26
2559,26
2560,26
2561,26
2562,26
2563,26
2564,26
2565,26
2566,26
2567,26
2568,26
2569,26
2570,26
2571,26
2572,26
2573,26
2574,26
2575,26
2576,26
2577,26
2578,26
2579,26
2580,26
2581,26
2582,26
2583,26
2584,26
